Red,Green,Blue
6639,8875,7871
6557,8779,7811
6496,8708,7827
6919,9179,8101
7067,9339,8166
6847,8990,7834
7081,9007,7481
8098,9314,6526
8113,8806,5697
7098,8384,6484
7098,8384,6484
6636,8458,7453
7218,9057,7651
7045,8716,7544
7054,8814,7776
7512,9206,7974
7342,8988,7941
6941,8652,7680
6861,8626,7779
6853,8581,7800
6631,8354,7645
6641,8245,7349
6552,8090,7083
6285,8012,7367
5641,7411,7004
5696,7463,7021
6129,7860,7270
6073,7813,7238
6158,7896,7228
6032,7761,7021
6233,8019,7145
6504,8348,7428
6583,8481,7375
6894,8670,7279
6979,8547,7343
7363,8932,7261
7543,9099,6879
7387,9044,7337
7346,8992,7540
7508,9150,7804
7849,9485,8137
7782,9063,6876
7782,9063,6876
7388,8563,6216
8348,10107,7912
8894,10939,8969
9458,11486,9245
9436,11401,9171
8842,10847,8881
7804,9466,8004
7526,9014,7740
7949,9571,8079
6978,8347,6597
5142,6281,5235
4978,6029,4615
5894,7225,5200
8384,10325,5965
9283,11229,6101
11899,13388,6641
13580,15430,7481
13785,15051,7365
12480,13310,6845
17255,18815,8618
19591,22402,9910
19406,22874,10546
19946,23760,11205
19497,23191,10693
18551,21623,9736
17543,21197,9253
16364,20159,9113
15779,19478,9248
14620,18135,9342
17706,21348,10910
18715,21444,10298
21622,23870,10465
21622,23870,10465
20247,21832,9547
18547,19699,9083
19240,20416,9406
19758,21237,10161
21090,22911,10653
20720,22935,10303
20352,22916,9964
19491,22568,10001
19466,22897,10342
17899,21344,9147
17196,20876,8732
16908,20734,8770
15442,19068,8502
13881,17102,8536
13062,16299,8228
16679,21076,9832
18597,23242,10800
17563,21836,10325
17095,21227,9909
16044,19238,8472
15968,18520,8336
16427,18778,8950
16729,19344,8897
16334,19670,8881
16102,19837,9361
15990,19809,9944
15142,18649,9239
15712,19000,8852
16894,20520,9191
17964,22129,10424
16513,20605,9813
15751,19802,9768
15751,19802,9768
15449,19372,9530
15113,18874,9082
14903,18673,8792
14901,18634,8906
15616,19400,9340
16197,19991,9571
16760,20161,9680
17697,20357,10044
20314,22987,10836
20463,22855,10287
20298,22544,9801
19776,21930,9581
18784,20813,9028
18302,20220,8791
18352,20259,9418
16786,18491,8376
15488,17087,7771
17024,18412,8078
17356,18638,8584
18443,19811,8937
19286,20760,9224
19847,21358,9294
19433,20851,8995
18901,20369,8802
17980,19519,8645
17600,19372,9119
18666,20748,9559
18472,20592,9775
17064,18601,8660
19292,20815,9255
20303,21918,9424
21646,23195,10771
21646,23195,10771
22099,23886,11141
21013,22676,10135
21812,23419,10500
23037,24677,11044
6050,6358,2975
17987,20267,10474
19691,21825,10384
19596,21659,9593
20178,22693,9918
20347,23081,9899
21130,23840,10603
21555,24281,10787
20906,23646,10729
20315,22736,10269
20170,22351,9816
20016,21957,9513
19615,21146,9210
19329,20503,8858
19186,20280,8860
18921,19976,8866
18574,19624,8796
18033,19053,8507
18867,20096,8921
18516,20012,9159
18254,19860,9022
18254,19860,9022
17940,19558,9072
17234,18592,8660
16690,17838,8370
17471,18448,8579
18835,19699,9106
19845,20605,9387
20603,21233,9321
21242,21847,9390
22203,22940,9880
22725,23595,10096
22205,23201,9901
21955,23074,9874
22321,23910,10686
5690,6075,2736
23699,25250,10876
22211,23448,10029
22719,23915,10281
6382,6768,3125
6044,6545,3297
22617,23781,11114
23255,24229,10615
6579,6665,2973
6326,6459,3076
22033,22079,9617
21717,21712,9398
20201,20236,8884
18914,19133,8573
19063,19463,8659
18701,19359,8608
18066,18943,8784
17628,18657,8909
17310,18223,8556
16919,17760,8355
16780,17515,8248
17040,17678,8382
17168,17667,8294
17674,18111,8682
18817,19211,9158
20646,20872,9289
22523,22896,9950
22303,22711,9794
21699,22114,9546
22010,22416,9622
22010,22416,9886
22550,23115,9886
22975,23777,10191
5399,5753,2503
22221,23307,10056
6474,6661,2855
6313,6453,2746
6349,6484,2822
6364,6486,2762
6406,6559,2909
23843,24374,10513
23883,24235,10509
6554,6589,2903
6760,6814,2957
6557,6595,2864
21092,21120,9559
19687,19729,9298
18614,18588,9036
18922,18498,8579
18966,18266,8401
19037,18333,8248
19045,18834,8489
19122,19487,9172
20343,20386,9263
20506,20191,8979
19986,19970,8807
20417,20872,9214
17946,18370,8182
17431,17607,7853
18273,18186,8073
18812,18693,8311
19428,19305,8538
20141,19967,8963
20057,19811,8852
20140,19971,8906
21112,21279,9579
22101,22865,10496
4631,4806,2109
25212,26137,11318
6049,6156,2675
6350,6461,2876
23950,24211,10483
6227,6326,3068
16325,16024,8453
18438,17607,8225
18880,18085,8153
19480,18821,8454
19933,19590,8703
20971,21264,9553
20512,20952,9259
20501,21028,9212
19322,19706,9014
18720,19055,8498
18807,19089,8413
18891,18949,8374
19780,19807,8672
21769,21588,9451
21769,21588,9451
21746,21297,9395
21624,21240,9314
20802,20608,9115
20271,20265,9105
21039,21253,9217
21626,22159,9580
21198,21885,9693
19489,19979,9019
18419,18891,9064
20710,21177,9817
22306,22817,9764
22211,22743,9745
22922,23499,10054
23892,24344,10431
23594,24211,10841
22684,23308,10405
22116,22755,10430
21192,21848,10453
22512,22777,10193
23708,23829,10518
23638,24067,11133
6280,6399,2951
17604,17878,9343
18946,18560,8847
20765,19987,8951
20765,19987,8951
19850,19212,8818
18972,18921,8956
19897,19759,9115
20266,20043,9014
20723,21300,9553
20545,21586,9993
20094,20896,9113
19907,20625,8902
19802,20127,8884
19192,19100,8812
20374,20032,9180
22430,21892,9689
22936,22347,9761
23031,22386,9699
23700,23184,10214
24003,23583,10198
5597,5563,2443
25744,26394,11349
6389,6576,3056
6470,6577,2871
6436,6581,2947
6304,6549,3138
6304,6549,3138
6234,6570,3320
6235,6607,3406
6371,6671,3321
6438,6558,2954
23078,23187,10336
19232,19435,9573
21958,21958,9934
24151,24227,10564
6563,6608,2820
6455,6519,2836
6408,6483,2797
6363,6449,2765
6386,6501,2879
21869,22321,10579
19551,20063,10196
19411,19656,9907
19159,19137,9877
18553,18768,9746
19517,19743,9896
20538,20604,9633
20938,21511,10435
20938,21511,10435
21243,21913,10552
21169,22067,10758
21511,21655,9421
20835,20985,9088
21143,21552,9504
21397,21627,9753
21517,21714,9606
21218,21284,9335
21868,21371,9432
22101,21227,9530
21767,20617,9332
21627,20392,9215
22138,20920,9353
22367,21179,9446
21884,20785,9273
20632,19629,8883
19076,18150,8316
17965,17261,8230
19330,18656,8708
19612,18918,8724
20305,19692,8916
21826,21396,9281
23379,23362,10106
5565,5837,2473
19515,20791,9521
19515,20791,9521
19412,20543,8872
19377,20478,8806
19757,20497,8916
19949,20664,8982
19840,20475,9086
19092,20145,10486
19273,20217,10391
20301,20887,10034
19668,21052,11367
20677,21167,9612
20435,20768,8971
18349,18856,8180
18151,18838,8294
18914,19798,8645
17792,19337,8642
17804,19765,8813
17667,19817,8783
18286,20539,9074
19424,21922,9701
20119,22866,10086
20004,22642,9885
20033,22511,9684
19424,21628,9303
17573,19312,8993
17083,18434,9389
18703,19443,10380
18149,19087,11148
18351,18339,9534
18800,18452,8910
12969,12959,6727
10073,10014,5645
8161,8149,4916
8161,8149,4916
8980,8921,5282
10198,10227,5934
11554,11585,6126
13996,14355,6900
15102,15938,7497
13957,14997,7447
13734,14849,7190
14166,15495,7574
14340,15753,7522
13612,15076,7230
12760,13914,6786
12624,13638,6800
14471,15126,7452
15273,15632,7560
16758,16675,8063
16294,16183,7988
15858,16373,8524
14331,15655,8391
13466,16361,10460
13955,18218,13175
15476,19913,13985
16444,20917,14436
16320,20392,14500
16783,20554,14383
17090,21088,13900
14950,18484,11192
14296,17204,10244
13214,15329,9156
13287,14523,8148
12456,14035,9430
11750,12504,7641
11750,12504,7641
11077,11861,6358
8379,9227,5128
9051,9952,5332
9174,10138,5352
9174,10217,5400
9540,10453,5460
10654,11434,5751
12839,13482,6380
13195,13862,6570
14283,14843,6829
16218,16683,7463
17959,18428,8067
18377,18867,8173
21670,22247,9460
20636,21804,9478
19003,20479,9122
19011,20744,9191
18464,20138,9048
19467,21218,9544
20153,21997,9971
20671,22480,10122
21233,22889,10347
21027,22254,10101
20544,21842,9450
20331,21180,9007
21213,21330,9295
22311,21873,9569
22332,21735,9777
20768,20379,10050
18223,18703,10703
20055,20153,10798
21540,20818,9773
21540,20818,9773
20997,20043,9038
20532,19444,8977
19515,18401,8434
14669,13934,6906
10482,10236,5603
8526,8509,4986
6726,6937,4432
6004,6360,4288
5203,5681,4078
7416,7806,4773
11820,12335,6188
13836,14795,6872
19090,20440,8784
20446,21262,9228
20333,20722,9247
19626,19935,9043
19563,19870,9013
19923,20201,9084
20476,20807,9439
21686,21927,9489
22484,22721,9634
22109,22321,9500
20953,21466,9698
15772,17857,10873
12498,14373,9134
16105,17527,8796
14749,15722,7832
17263,17642,8187
19326,19144,8597
19187,19097,8631
16649,17014,8431
17203,18282,9266
17203,18282,9266
15434,16776,9105
14753,15988,8826
15744,16523,8241
15878,16450,7793
16366,17036,8057
14378,14903,7728
15103,15484,7834
17709,17951,8094
16956,16733,7787
19639,19026,8641
21222,20570,9122
21845,21334,9380
23564,23303,10251
21364,20959,9403
19067,18691,8597
18336,18027,8175
19294,19096,8793
19501,19432,8829
22433,22765,10053
23228,24233,10908
21352,22514,10568
20559,21525,9882
20650,21388,9721
21095,21648,9728
20966,21426,9504
20328,20800,9625
18144,18922,9627
20136,20691,9525
21511,21949,9722
23176,23485,10064
5717,5895,2803
19896,19622,9056
20342,19845,8883
19814,20038,9438
19401,20393,10055
17895,18738,9516
15587,16187,9170
13481,14576,9813
14896,15796,10154
17061,17347,9925
17236,17255,9400
21895,21158,9585
24363,23854,10270
23449,23167,10021
22399,22430,9733
20716,20963,9637
21052,21105,9206
20352,20360,8918
18602,18549,8281
20760,21134,9494
23519,24292,10429
23064,23739,10078
22313,22918,9774
21994,22601,9707
21627,22265,9587
22009,22586,9782
19915,20805,10019
19915,20805,10019
15943,18597,12559
16844,19126,12033
18566,19387,9419
20925,21473,9347
22652,23229,10025
6477,6527,2814
18468,18890,10993
18434,19118,11211
18637,19482,11282
18309,20282,13089
18577,20886,13723
18863,21391,14044
18096,20920,14366
18047,20691,14081
18296,20723,13976
17713,19747,13597
18512,19853,12831
20169,19884,10440
21175,20197,9381
22134,21224,9539
21475,20981,9430
21351,20744,9297
20959,20278,9090
17368,17113,7956
16252,16211,7652
16252,16211,7652
15296,15432,7320
15018,15324,7271
17149,17486,7912
18360,18557,8133
20661,20775,9123
6284,6590,3261
6219,6578,3350
6415,6595,3022
6429,6523,2833
6394,6481,2854
6442,6523,2780
6435,6535,2762
6668,6784,2880
6615,6733,2848
6545,6659,2842
6326,6412,2764
23887,23913,10295
22584,22579,10149
21853,21911,10286
20836,20765,10200
20155,19927,10339
20412,19977,9251
21069,20729,9348
21734,22007,10029
22202,22890,10557
22202,22890,10557
21496,22603,11169
20442,21389,11354
20775,21033,9848
21812,21525,9466
23118,22275,9852
22958,22079,9773
23467,22641,10001
22381,21615,9651
22988,22467,9939
24285,23988,10407
23568,23476,10190
22564,22577,9832
21106,21138,9208
6402,6597,3109
6441,6513,2840
6459,6521,2828
6380,6445,2745
23388,23173,10375
22897,22850,10592
23625,23545,10737
23569,23465,10623
23484,23275,10305
22713,22436,9782
22594,22319,9936
22676,22404,9866
22676,22404,9866
22496,22334,10037
22571,22371,9873
21037,20589,9422
19304,18493,9180
20472,19716,9447
20869,19889,8634
22064,21546,9481
22417,22478,9678
22302,22943,9887
21832,22698,10009
20456,21343,9283
20224,21020,9300
20199,20705,9118
21542,20902,9422
21536,20833,9379
22693,22077,9772
23520,23069,10163
20630,20188,9065
18257,18168,8441
16108,16092,7753
17763,17466,8177
19441,19131,8616
22467,22641,9842
23620,24273,10837
23206,24064,11091
22456,22983,9946
21017,21502,9378
20110,20355,8780
22665,23010,9908
6546,6652,2970
6371,6488,2873
6423,6517,2788
23004,23501,10943
22941,23312,10618
6769,6835,2980
6789,6819,2898
6617,6594,2798
20596,20689,9705
20692,20832,9846
19773,19930,9716
19541,19132,8922
18973,18128,8258
17192,17404,9155
17151,19077,11691
18388,20685,12606
17779,19890,12198
20376,21480,10901
19793,21009,11280
19619,20791,11416
19375,20453,11573
19821,20219,10417
19821,20219,10417
17991,18089,9273
14857,14620,7369
15886,15470,7490
15867,15362,7398
17662,17112,7959
18821,18330,8409
21066,20832,9211
23943,24246,10504
5488,5663,2479
23886,24434,10176
23362,23831,10093
22631,23183,9826
22414,23033,9777
22935,23517,10076
23672,24163,10354
3774,3775,1882
19881,21464,12485
19881,21365,11587
20365,21365,11587
20377,21709,12436
19010,20807,12990
22190,22602,11228
5261,5346,2582
22698,22526,10118
22123,22017,10007
23246,23097,10070
23869,23720,10210
23042,22849,9839
22826,22410,9800
21780,20951,9112
21254,20252,8884
20976,19959,8684
22324,22098,9648
23421,23764,10388
22372,22847,10131
20197,20751,9857
19605,19914,9304
19443,19463,8629
19077,19186,8455
21145,21077,9185
22597,22524,9832
22000,21991,9600
20886,20924,9123
20886,20924,9123
22320,22702,9738
5640,5845,2562
6553,6839,2981
6919,7246,3065
6585,6862,2911
19146,19682,8575
20800,21139,9279
22353,22544,10252
22973,23498,11448
23126,23486,10742
23241,23469,10402
6763,6858,2923
6774,6831,2967
6866,6926,2969
6780,6863,2931
20806,20868,9028
20605,20611,8993
20228,20063,8938
20228,20063,8938
19607,19305,8688
21268,20987,9225
21401,21094,9258
21346,20818,9130
21216,20655,9012
20875,20484,8856
21101,20852,9074
21144,21451,9560
21230,22203,10704
20637,21999,11438
20035,20930,10279
19587,19862,8858
19881,20018,8695
20808,21091,9146
21974,22471,9810
20307,20788,9224
19559,19992,8795
20775,21561,9482
21987,23453,10584
21058,22523,10103
20291,21659,9674
19522,20773,9163
19168,20373,8835
18298,19442,8521
18064,19002,8647
19121,20029,9343
19836,20710,9066
24004,25396,11155
6130,6362,2704
22979,24169,11262
22974,23847,10582
23375,24222,10310
23394,24384,10406
23150,24047,10332
6352,6574,2829
21233,22196,9546
21746,22654,9721
21526,22396,9595
20712,21620,9314
20978,21565,9267
21351,21750,9668
19121,19744,9755
18870,19570,9404
20211,21080,9738
21400,22779,10722
21898,23938,11919
21087,23570,12620
21353,23729,12664
21779,23503,11045
21582,23076,10547
21406,22749,10330
21406,22749,10330
20986,22019,9658
20849,21677,9312
20947,21686,9458
21703,22625,9699
22340,23531,10104
21650,22924,9753
21537,23128,9864
21372,23538,10498
20543,22742,10233
19661,21563,9355
19754,21398,9193
22920,24570,10887
5864,6512,3863
19932,22416,10050
19956,22819,9746
16922,19328,8761
15347,17835,8929
13489,16675,9381
13638,18195,11897
15579,20817,12297
15099,19151,9516
15767,20319,9299
14305,18515,8436
13502,17409,7848
13030,16753,7491
13030,16753,7491
13063,16736,7508
13632,17348,7848
13296,17028,7564
13603,17512,7801
14471,18706,8402
16037,20665,9382
17219,21925,9876
16696,21404,9682
15538,20087,9130
14061,18313,8743
13757,17916,8631
14823,19199,8914
16165,20849,9576
16755,21413,9573
16191,20660,9107
15628,20122,9073
14674,19093,9067
14915,19425,9067
15828,20280,9104
16807,21296,9525
17996,23290,11739
18366,23655,12624
17546,21803,10346
18519,21990,10009
19928,23724,12390
21848,24401,11632
22333,23769,10190
22121,23784,10090
22533,24312,10266
22731,24876,11442
19988,21976,9849
16829,18684,8192
16829,18684,8192
15462,17136,7850
18028,19884,8808
16213,17512,7701
13791,14524,6824
16078,16961,7762
20176,21466,9391
20471,21766,9474
20460,21650,9450
19922,21254,9627
19599,21107,9871
19566,20801,9059
18014,19135,8405
16053,17166,8253
18591,20725,11166
19740,21697,11070
20830,23051,12039
21141,23422,12112
20414,22403,11499
20217,21476,10277
20206,21133,9666
20611,21593,9526
20575,21998,9505
20397,22139,9496
20005,22322,9740
19315,22377,9759
18380,21935,9512
17779,21668,9561
15929,19449,8835
17490,21229,10036
17196,21380,11665
19329,23683,12013
19329,23683,12013
18526,22582,11590
19142,22722,11475
19671,22323,10889
21010,24605,14555
6245,6599,2853
6290,6755,2912
6342,6785,2876
6405,6804,2950
6391,6711,2988